league,season,team,player,nation,pos,age,born,matches,starts,minutes,90s,goals,assists,g_a,g_pk,pk,pkatt,yellow_cards,red_cards,goals_90,assists_90,g_a_90,g_pk_90,g_a_pk_90,player_short,player_name,total_injuries,injury_types,injured
ENG-Premier League,2223,Leeds United,Rasmus Kristensen,DEN,DF,25,1997,26,21,1960,21.8,3,1,4,3,0,0,4,0,0.14,0.05,0.18,0.14,0.18,R. Kristensen,,0.0,None,0
ENG-Premier League,2223,Leeds United,Robin Koch,GER,DF,26,1996,36,36,3175,35.3,0,0,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,R. Koch,R. Koch,1.0,Yellow Cards,1
ENG-Premier League,2223,Leeds United,Rodrigo,ESP,"FW,MF",31,1991,31,23,1935,21.5,13,1,14,12,1,1,6,0,0.6,0.05,0.65,0.56,0.6,Rodrigo,Rodrigo,7.0,"Shoulder Injury, Knee Injury",1
ENG-Premier League,2223,Leeds United,Sam Greenwood,ENG,MF,20,2002,18,3,424,4.7,1,2,3,1,0,0,1,0,0.21,0.42,0.64,0.21,0.64,S. Greenwood,,0.0,None,0
ENG-Premier League,2223,Leeds United,Tyler Adams,USA,MF,23,1999,24,24,2156,24.0,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,T. Adams,T. Adams,41.0,"Red Card, Thigh Injury, Injury",1
ENG-Premier League,2223,Leeds United,Weston McKennie,USA,MF,23,1998,19,16,1437,16.0,0,1,1,0,0,0,7,0,0.0,0.06,0.06,0.0,0.06,W. McKennie,,0.0,None,0
ENG-Premier League,2223,Leeds United,Wilfried Gnonto,ITA,"MF,FW",18,2003,24,14,1354,15.0,2,4,6,2,0,0,7,0,0.13,0.27,0.4,0.13,0.4,W. Gnonto,W. Gnonto,1.0,Ankle Injury,1
ENG-Premier League,2223,Leicester City,Ayoze Pérez,ESP,MF,29,1993,8,3,382,4.2,0,1,1,0,0,0,0,0,0.0,0.24,0.24,0.0,0.24,A. Pérez,,0.0,None,0
ENG-Premier League,2223,Leicester City,Boubakary Soumaré,FRA,MF,23,1999,26,20,1629,18.1,0,0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,B. Soumaré,,0.0,None,0
ENG-Premier League,2223,Leicester City,Daniel Amartey,GHA,DF,27,1994,20,18,1610,17.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,D. Amartey,,0.0,None,0
ENG-Premier League,2223,Leicester City,Daniel Iversen,DEN,GK,25,1997,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,D. Iversen,,0.0,None,0
ENG-Premier League,2223,Leicester City,Danny Ward,WAL,GK,29,1993,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,D. Ward,D. Ward,2.0,Finger Injury,1
ENG-Premier League,2223,Leicester City,Dennis Praet,BEL,MF,28,1994,22,6,649,7.2,1,0,1,1,0,0,1,0,0.14,0.0,0.14,0.14,0.14,D. Praet,D. Praet,2.0,Back Injury,1
ENG-Premier League,2223,Leicester City,Harry Souttar,AUS,DF,23,1998,12,11,992,11.0,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,H. Souttar,,0.0,None,0
ENG-Premier League,2223,Leicester City,Harvey Barnes,ENG,"MF,FW",24,1997,34,32,2711,30.1,13,1,14,13,0,0,3,0,0.43,0.03,0.46,0.43,0.46,H. Barnes,H. Barnes,20.0,"Knee Injury, Thigh Injury, Ankle Injury",1
ENG-Premier League,2223,Leicester City,James Justin,ENG,"DF,MF",24,1998,14,14,1252,13.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,J. Justin,J. Justin,24.0,Knee Injury,1
ENG-Premier League,2223,Leicester City,James Maddison,ENG,"MF,FW",25,1996,30,28,2480,27.6,10,9,19,9,1,2,10,0,0.36,0.33,0.69,0.33,0.65,J. Maddison,J. Maddison,17.0,"Injury, Yellow Cards, Knee Injury, Ankle Injury",1
ENG-Premier League,2223,Leicester City,Jamie Vardy,ENG,FW,35,1987,37,19,1857,20.6,3,4,7,3,0,1,1,0,0.15,0.19,0.34,0.15,0.34,J. Vardy,,0.0,None,0
ENG-Premier League,2223,Leicester City,Jonny Evans,NIR,DF,34,1988,13,12,1051,11.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,J. Evans,J. Evans,29.0,"Calf Injury, Muscle Injury, Injury, Illness",1
ENG-Premier League,2223,Leicester City,Kelechi Iheanacho,NGA,FW,25,1996,28,11,1127,12.5,5,5,10,4,1,1,0,0,0.4,0.4,0.8,0.32,0.72,K. Iheanacho,K. Iheanacho,3.0,Muscle Injury,1
ENG-Premier League,2223,Leicester City,Kiernan Dewsbury-Hall,ENG,MF,23,1998,31,28,2306,25.6,2,2,4,2,0,0,5,1,0.08,0.08,0.16,0.08,0.16,K. Dewsbury-Hall,K. Dewsbury-Hall,3.0,"Injury, Red Card, Ankle Injury",1
ENG-Premier League,2223,Leicester City,Lewis Brunt,ENG,"DF,MF",21,2000,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,L. Brunt,,0.0,None,0
ENG-Premier League,2223,Leicester City,Luke Thomas,ENG,DF,21,2001,17,11,1073,11.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,L. Thomas,,0.0,None,0
ENG-Premier League,2223,Leicester City,Marc Albrighton,ENG,MF,32,1989,6,1,237,2.6,1,0,1,1,0,0,0,0,0.38,0.0,0.38,0.38,0.38,M. Albrighton,,0.0,None,0
ENG-Premier League,2223,Leicester City,Nampalys Mendy,SEN,MF,30,1992,19,7,757,8.4,1,0,1,1,0,0,1,0,0.12,0.0,0.12,0.12,0.12,N. Mendy,N. Mendy,1.0,Injury,1
ENG-Premier League,2223,Leicester City,Patson Daka,ZAM,FW,23,1998,30,13,1187,13.2,4,4,8,4,0,0,2,0,0.3,0.3,0.61,0.3,0.61,P. Daka,P. Daka,1.0,Muscle Injury,1
ENG-Premier League,2223,Leicester City,Ricardo Pereira,POR,"DF,MF",28,1993,10,5,454,5.0,1,1,2,1,0,0,2,0,0.2,0.2,0.4,0.2,0.4,R. Pereira,R. Pereira,25.0,"Achilles Tendon Injury, Thigh Injury",1
ENG-Premier League,2223,Leicester City,Tetê,BRA,"MF,FW",22,2000,13,9,734,8.2,1,0,1,1,0,0,0,0,0.12,0.0,0.12,0.12,0.12,Tetê,,0.0,None,0
ENG-Premier League,2223,Leicester City,Timothy Castagne,BEL,"DF,MF",26,1995,37,36,3254,36.2,2,3,5,2,0,0,3,0,0.06,0.08,0.14,0.06,0.14,T. Castagne,,0.0,None,0
ENG-Premier League,2223,Leicester City,Victor Bernth Kristiansen,DEN,DF,19,2002,12,11,892,9.9,0,1,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,V. Bernth Kristiansen,,0.0,None,0
ENG-Premier League,2223,Leicester City,Wesley Fofana,FRA,DF,21,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,W. Fofana,W. Fofana,55.0,"Personal Reasons, Knee Injury, Thigh Injury, Leg Injury",1
ENG-Premier League,2223,Leicester City,Wilfred Ndidi,NGA,"MF,DF",25,1996,27,19,1679,18.7,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,W. Ndidi,W. Ndidi,6.0,"Thigh Injury, Personal Reasons",1
ENG-Premier League,2223,Leicester City,Wout Faes,BEL,DF,24,1998,31,31,2786,31.0,1,2,3,1,0,0,6,1,0.03,0.06,0.1,0.03,0.1,W. Faes,W. Faes,1.0,Red Card,1
ENG-Premier League,2223,Leicester City,Youri Tielemans,BEL,MF,25,1997,31,27,2344,26.0,3,2,5,2,1,2,4,0,0.12,0.08,0.19,0.08,0.15,Y. Tielemans,Y. Tielemans,12.0,"Ankle Injury, Knock, Injury, Muscle Injury",1
ENG-Premier League,2223,Leicester City,Çağlar Söyüncü,TUR,DF,26,1996,7,6,529,5.9,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17,Ç. Söyüncü,,0.0,None,0
ENG-Premier League,2223,Liverpool,Alex Oxlade-Chamberlain,ENG,FW,28,1993,9,4,335,3.7,1,0,1,1,0,0,0,0,0.27,0.0,0.27,0.27,0.27,A. Oxlade-Chamberlain,A. Oxlade-Chamberlain,9.0,Muscle Injury,1
ENG-Premier League,2223,Liverpool,Alisson,BRA,GK,29,1992,37,37,3330,37.0,0,1,1,0,0,0,1,0,0.0,0.03,0.03,0.0,0.03,Alisson,Alisson,9.0,"Muscle Injury, Hamstring Injury",1
ENG-Premier League,2223,Liverpool,Andrew Robertson,SCO,DF,28,1994,34,29,2583,28.7,0,8,8,0,0,0,3,0,0.0,0.28,0.28,0.0,0.28,A. Robertson,A. Robertson,17.0,"Knee Injury, Groin Injury, Shoulder Injury, Ankle Injury",1
ENG-Premier League,2223,Liverpool,Ben Gannon-Doak,SCO,MF,16,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B. Gannon-Doak,,0.0,None,0
ENG-Premier League,2223,Liverpool,Bobby Clark,ENG,MF,17,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B. Clark,,0.0,None,0
ENG-Premier League,2223,Liverpool,Caoimhín Kelleher,IRL,GK,23,1998,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C. Kelleher,C. Kelleher,8.0,"Muscle Injury, Injury",1
ENG-Premier League,2223,Liverpool,Cody Gakpo,NED,FW,23,1999,21,17,1458,16.2,7,2,9,7,0,0,0,0,0.43,0.12,0.56,0.43,0.56,C. Gakpo,C. Gakpo,3.0,"Knee Injury, Personal Reasons",1
ENG-Premier League,2223,Liverpool,Curtis Jones,ENG,MF,21,2001,18,12,1035,11.5,3,1,4,3,0,0,2,0,0.26,0.09,0.35,0.26,0.35,C. Jones,C. Jones,18.0,"Calf Injury, Leg Injury, Ankle Injury, Red Card, Illness",1
ENG-Premier League,2223,Liverpool,Darwin Núñez,URU,FW,23,1999,29,19,1695,18.8,9,3,12,9,0,0,1,1,0.48,0.16,0.64,0.48,0.64,D. Núñez,,0.0,None,0
ENG-Premier League,2223,Liverpool,Diogo Jota,POR,"FW,MF",25,1996,22,12,1131,12.6,7,4,11,7,0,0,2,0,0.56,0.32,0.88,0.56,0.88,D. Jota,,0.0,None,0
ENG-Premier League,2223,Liverpool,Fabinho,BRA,MF,28,1993,36,31,2671,29.7,0,2,2,0,0,0,11,0,0.0,0.07,0.07,0.0,0.07,Fabinho,,0.0,None,0
ENG-Premier League,2223,Liverpool,Fabio Carvalho,POR,"MF,FW",19,2002,13,4,347,3.9,2,0,2,2,0,0,0,0,0.52,0.0,0.52,0.52,0.52,F. Carvalho,,0.0,None,0
ENG-Premier League,2223,Liverpool,Harvey Elliott,ENG,MF,19,2003,32,18,1613,17.9,1,2,3,1,0,0,2,0,0.06,0.11,0.17,0.06,0.17,H. Elliott,,0.0,None,0
ENG-Premier League,2223,Liverpool,Ibrahima Konaté,FRA,DF,23,1999,18,17,1552,17.2,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,I. Konaté,,0.0,None,0
ENG-Premier League,2223,Liverpool,James Milner,ENG,"MF,DF",36,1986,31,7,913,10.1,0,1,1,0,0,0,2,0,0.0,0.1,0.1,0.0,0.1,J. Milner,J. Milner,24.0,"Head Injury, Thigh Injury, Muscle Injury, Injury, Knee Injury",1
ENG-Premier League,2223,Liverpool,Joe Gomez,ENG,DF,25,1997,21,15,1466,16.3,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,J. Gomez,J. Gomez,4.0,"Injury, Muscle Injury",1
ENG-Premier League,2223,Liverpool,Jordan Henderson,ENG,MF,32,1990,35,23,2074,23.0,0,2,2,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,J. Henderson,J. Henderson,2.0,"Thigh Injury, Concussion",1
ENG-Premier League,2223,Liverpool,Joël Matip,CMR,DF,30,1991,14,12,1092,12.1,1,0,1,1,0,0,3,0,0.08,0.0,0.08,0.08,0.08,J. Matip,J. Matip,33.0,"Groin Injury, Calf Injury, Knee Injury",1
ENG-Premier League,2223,Liverpool,Kostas Tsimikas,GRE,DF,26,1996,20,9,771,8.6,0,4,4,0,0,0,3,0,0.0,0.47,0.47,0.0,0.47,K. Tsimikas,K. Tsimikas,6.0,"Knock, Collarbone injury",1
ENG-Premier League,2223,Liverpool,Luis Díaz,COL,FW,25,1997,17,11,996,11.1,4,2,6,4,0,0,2,0,0.36,0.18,0.54,0.36,0.54,L. Díaz,,0.0,None,0
ENG-Premier League,2223,Liverpool,Mohamed Salah,EGY,FW,30,1992,38,37,3290,36.6,19,12,31,17,2,4,2,0,0.52,0.33,0.85,0.47,0.79,M. Salah,M. Salah,6.0,"National selection, Thigh Injury",1
ENG-Premier League,2223,Liverpool,Naby Keïta,GUI,MF,27,1995,8,3,293,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,N. Keïta,,0.0,None,0
ENG-Premier League,2223,Liverpool,Nathaniel Phillips,ENG,DF,25,1997,2,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,N. Phillips,,0.0,None,0
ENG-Premier League,2223,Liverpool,Roberto Firmino,BRA,FW,30,1991,25,13,1213,13.5,11,4,15,11,0,0,0,0,0.82,0.3,1.11,0.82,1.11,R. Firmino,R. Firmino,12.0,"Calf Injury, Muscle Injury",1
ENG-Premier League,2223,Liverpool,Stefan Bajcetic,ESP,MF,17,2004,11,6,526,5.8,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17,S. Bajcetic,S. Bajcetic,38.0,"Muscle Injury, Calf Injury, Lacking Match Fitness",1
ENG-Premier League,2223,Liverpool,Thiago Alcántara,ESP,MF,31,1991,18,14,1254,13.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,T. Alcántara,,0.0,None,0
ENG-Premier League,2223,Liverpool,Trent Alexander-Arnold,ENG,DF,23,1998,37,34,2923,32.5,2,9,11,2,0,0,5,0,0.06,0.28,0.34,0.06,0.34,T. Alexander-Arnold,T. Alexander-Arnold,10.0,"Muscle Injury, Knee Injury",1
ENG-Premier League,2223,Liverpool,Virgil van Dijk,NED,DF,31,1991,32,32,2835,31.5,3,1,4,3,0,0,3,0,0.1,0.03,0.13,0.1,0.13,V. van Dijk,V. van Dijk,5.0,"Thigh Injury, Red Card",1
ENG-Premier League,2223,Manchester City,Aymeric Laporte,ESP,"DF,MF",28,1994,12,11,993,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,A. Laporte,A. Laporte,9.0,"Knee Injury, Back Injury, Illness",1
ENG-Premier League,2223,Manchester City,Bernardo Silva,POR,"MF,FW",27,1994,34,24,2205,24.5,4,5,9,4,0,0,5,0,0.16,0.2,0.37,0.16,0.37,B. Silva,B. Silva,3.0,"Illness, Injury",1
ENG-Premier League,2223,Manchester City,Cole Palmer,ENG,"MF,FW",20,2002,14,2,370,4.1,0,1,1,0,0,0,1,0,0.0,0.24,0.24,0.0,0.24,C. Palmer,C. Palmer,3.0,"Knock, Yellow Cards, Illness",1
ENG-Premier League,2223,Manchester City,Ederson,BRA,GK,28,1993,35,35,3150,35.0,0,1,1,0,0,0,3,0,0.0,0.03,0.03,0.0,0.03,Ederson,Ederson,3.0,"Ankle Injury, Muscle Injury, Eye injury",1
ENG-Premier League,2223,Manchester City,Erling Haaland,NOR,"FW,MF",22,2000,35,33,2769,30.8,36,8,44,29,7,7,5,0,1.17,0.26,1.43,0.94,1.2,E. Haaland,E. Haaland,9.0,"Foot Injury, Groin Injury, Ankle Injury, Injury, Health problems",1
ENG-Premier League,2223,Manchester City,Jack Grealish,ENG,"FW,MF",26,1995,28,23,2055,22.8,5,7,12,5,0,0,4,0,0.22,0.31,0.53,0.22,0.53,J. Grealish,J. Grealish,8.0,"Knee Injury, Thigh Injury, Yellow Cards, Groin Injury",1
ENG-Premier League,2223,Manchester City,John Stones,ENG,"DF,MF",28,1994,23,21,1846,20.5,2,2,4,2,0,0,2,0,0.1,0.1,0.2,0.1,0.2,J. Stones,J. Stones,19.0,"Thigh Injury, Injury, Muscle Injury, Ankle Injury",1
ENG-Premier League,2223,Manchester City,João Cancelo,POR,DF,28,1994,17,16,1274,14.2,2,1,3,2,0,0,3,1,0.14,0.07,0.21,0.14,0.21,J. Cancelo,,0.0,None,0
ENG-Premier League,2223,Manchester City,Julián Álvarez,ARG,"MF,FW",22,2000,31,13,1465,16.3,9,0,9,8,1,1,0,0,0.55,0.0,0.55,0.49,0.49,J. Álvarez,,0.0,None,0
ENG-Premier League,2223,Manchester City,Kalvin Phillips,ENG,"MF,DF",26,1995,12,2,300,3.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,K. Phillips,K. Phillips,15.0,"Knock, Shoulder Injury, Red Card, Thigh Injury, Injury",1
ENG-Premier League,2223,Manchester City,Kevin De Bruyne,BEL,MF,31,1991,32,28,2417,26.9,7,16,23,7,0,0,1,0,0.26,0.6,0.86,0.26,0.86,K. De Bruyne,K. De Bruyne,19.0,"Injury, Thigh Injury",1
ENG-Premier League,2223,Manchester City,Kyle Walker,ENG,"DF,MF",32,1990,27,22,1958,21.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,K. Walker,K. Walker,9.0,"Muscle Injury, Thigh Injury",1
ENG-Premier League,2223,Manchester City,Manuel Akanji,SUI,"DF,MF",27,1995,29,24,2287,25.4,0,1,1,0,0,0,2,0,0.0,0.04,0.04,0.0,0.04,M. Akanji,M. Akanji,3.0,"Injury, Red Card",1
ENG-Premier League,2223,Manchester City,Máximo Perrone,ARG,MF,19,2003,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,M. Perrone,,0.0,None,0
ENG-Premier League,2223,Manchester City,Nathan Aké,NED,DF,27,1995,26,22,1873,20.8,1,0,1,1,0,0,2,0,0.05,0.0,0.05,0.05,0.05,N. Aké,,0.0,None,0
ENG-Premier League,2223,Manchester City,Phil Foden,ENG,"FW,MF",22,2000,32,22,1842,20.5,11,6,17,11,0,0,1,0,0.54,0.29,0.83,0.54,0.83,P. Foden,P. Foden,4.0,"Health problems, Illness",1
ENG-Premier League,2223,Manchester City,Rico Lewis,ENG,"DF,MF",17,2004,14,10,903,10.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,R. Lewis,,0.0,None,0
ENG-Premier League,2223,Manchester City,Riyad Mahrez,ALG,"MF,FW",31,1991,30,22,1920,21.3,5,10,15,4,1,1,2,0,0.23,0.47,0.7,0.19,0.66,R. Mahrez,,0.0,None,0
ENG-Premier League,2223,Manchester City,Rodri,ESP,"MF,DF",26,1996,36,34,2911,32.3,2,6,8,2,0,0,5,0,0.06,0.19,0.25,0.06,0.25,Rodri,Rodri,3.0,"Red Card, Yellow Cards",1
ENG-Premier League,2223,Manchester City,Rúben Dias,POR,"DF,MF",25,1997,26,22,1998,22.2,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,R. Dias,R. Dias,5.0,"Thigh Injury, Illness",1
ENG-Premier League,2223,Manchester City,Sergio Gómez,ESP,"MF,FW",21,2000,12,2,349,3.9,0,1,1,0,0,0,0,0,0.0,0.26,0.26,0.0,0.26,S. Gómez,,0.0,None,0
ENG-Premier League,2223,Manchester City,Shea Charles,NIR,"DF,MF",18,2003,1,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,S. Charles,,0.0,None,0
ENG-Premier League,2223,Manchester City,Stefan Ortega,GER,GK,29,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,S. Ortega,,0.0,None,0
ENG-Premier League,2223,Manchester City,İlkay Gündoğan,GER,MF,31,1990,31,27,2353,26.1,8,4,12,8,0,1,0,0,0.31,0.15,0.46,0.31,0.46,İ. Gündoğan,,0.0,None,0
ENG-Premier League,2223,Manchester Utd,Aaron Wan-Bissaka,COD,DF,24,1997,19,16,1435,15.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,A. Wan-Bissaka,A. Wan-Bissaka,18.0,"Knock, Injury, Thigh Injury",1
ENG-Premier League,2223,Manchester Utd,Alejandro Garnacho,ARG,MF,18,2004,19,5,569,6.3,3,2,5,3,0,0,3,0,0.47,0.32,0.79,0.47,0.79,A. Garnacho,A. Garnacho,7.0,"Foot Injury, Ankle Injury",1
ENG-Premier League,2223,Manchester Utd,Anthony Elanga,SWE,MF,20,2002,16,5,426,4.7,0,1,1,0,0,0,0,0,0.0,0.21,0.21,0.0,0.21,A. Elanga,A. Elanga,1.0,Knock,1
ENG-Premier League,2223,Manchester Utd,Anthony Martial,FRA,FW,26,1995,21,11,978,10.9,6,2,8,5,1,1,0,0,0.55,0.18,0.74,0.46,0.64,A. Martial,A. Martial,36.0,"Thigh Injury, Achilles Tendon Injury, Back Injury, Injury, Muscle Injury, Illness, Surgery, Lacking Match Fitness",1
ENG-Premier League,2223,Manchester Utd,Antony,BRA,MF,22,2000,25,23,1802,20.0,4,2,6,4,0,0,5,0,0.2,0.1,0.3,0.2,0.3,Antony,Antony,9.0,"Injury, Ankle Injury, Inactive",1
ENG-Premier League,2223,Manchester Utd,Bruno Fernandes,POR,MF,27,1994,37,37,3316,36.8,8,8,16,6,2,2,6,0,0.22,0.22,0.43,0.16,0.38,B. Fernandes,B. Fernandes,4.0,"Yellow Cards, Health problems",1
ENG-Premier League,2223,Manchester Utd,Casemiro,BRA,MF,30,1992,28,24,2124,23.6,4,3,7,4,0,0,7,2,0.17,0.13,0.3,0.17,0.3,Casemiro,Casemiro,20.0,"Inactive, Yellow Cards, Red Card, Ankle Injury, Hamstring Injury",1
ENG-Premier League,2223,Manchester Utd,Christian Eriksen,DEN,MF,30,1992,28,25,2048,22.8,1,8,9,1,0,0,3,0,0.04,0.35,0.4,0.04,0.4,C. Eriksen,C. Eriksen,12.0,"Ankle Injury, Knee Injury",1
ENG-Premier League,2223,Manchester Utd,Cristiano Ronaldo,POR,FW,37,1985,10,4,525,5.8,1,0,1,1,0,0,2,0,0.17,0.0,0.17,0.17,0.17,C. Ronaldo,C. Ronaldo,2.0,"Coach's decision, Illness",1
ENG-Premier League,2223,Manchester Utd,David de Gea,ESP,GK,31,1990,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,D. de Gea,,0.0,None,0
ENG-Premier League,2223,Manchester Utd,Diogo Dalot,POR,DF,23,1999,26,24,2154,23.9,1,2,3,1,0,0,6,0,0.04,0.08,0.13,0.04,0.13,D. Dalot,D. Dalot,6.0,"Yellow Cards, Muscle Injury, Thigh Injury, Red Card",1
ENG-Premier League,2223,Manchester Utd,Donny van de Beek,NED,MF,25,1997,7,2,167,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,D. van de Beek,D. van de Beek,26.0,"Knock, Muscle Injury, Knee Injury",1
ENG-Premier League,2223,Manchester Utd,Facundo Pellistri,URU,"FW,MF",20,2001,4,0,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,F. Pellistri,F. Pellistri,6.0,Ankle Injury,1
ENG-Premier League,2223,Manchester Utd,Fred,BRA,MF,29,1993,35,12,1249,13.9,2,2,4,2,0,0,6,0,0.14,0.14,0.29,0.14,0.29,Fred,,0.0,None,0
ENG-Premier League,2223,Manchester Utd,Harry Maguire,ENG,DF,29,1993,16,8,767,8.5,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,H. Maguire,H. Maguire,17.0,"Muscle Injury, Injury, Groin Injury",1
ENG-Premier League,2223,Manchester Utd,Jadon Sancho,ENG,MF,22,2000,26,21,1686,18.7,6,3,9,6,0,0,0,0,0.32,0.16,0.48,0.32,0.48,J. Sancho,J. Sancho,24.0,"Illness, Lacking Match Fitness, Suspended, Coach's decision",1
ENG-Premier League,2223,Manchester Utd,Kobbie Mainoo,ENG,MF,17,2005,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,K. Mainoo,K. Mainoo,9.0,Ankle Injury,1
ENG-Premier League,2223,Manchester Utd,Lisandro Martínez,ARG,DF,24,1998,27,24,2114,23.5,1,0,1,1,0,0,6,0,0.04,0.0,0.04,0.04,0.04,L. Martínez,,0.0,None,0
ENG-Premier League,2223,Manchester Utd,Luke Shaw,ENG,DF,27,1995,31,30,2552,28.4,1,2,3,1,0,0,8,0,0.04,0.07,0.11,0.04,0.11,L. Shaw,L. Shaw,27.0,"Thigh Injury, Muscle Injury, Leg Injury",1
ENG-Premier League,2223,Manchester Utd,Marcel Sabitzer,AUT,MF,28,1994,11,7,627,7.0,0,1,1,0,0,0,1,0,0.0,0.14,0.14,0.0,0.14,M. Sabitzer,M. Sabitzer,4.0,"Knock, Knee Injury",1
ENG-Premier League,2223,Manchester Utd,Marcus Rashford,ENG,"FW,MF",24,1997,35,32,2879,32.0,17,5,22,17,0,0,2,0,0.53,0.16,0.69,0.53,0.69,M. Rashford,M. Rashford,8.0,"Muscle Injury, Leg Injury, Illness, Ankle Injury",1
ENG-Premier League,2223,Manchester Utd,Raphaël Varane,FRA,DF,29,1993,24,22,1911,21.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,R. Varane,R. Varane,17.0,"Muscle Injury, Injury",1
ENG-Premier League,2223,Manchester Utd,Scott McTominay,SCO,MF,25,1996,24,10,1160,12.9,1,0,1,1,0,0,8,0,0.08,0.0,0.08,0.08,0.08,S. McTominay,S. McTominay,15.0,"Yellow Cards, Illness, Injury, Health problems, Knee Injury",1
ENG-Premier League,2223,Manchester Utd,Tyrell Malacia,NED,DF,22,1999,22,14,1396,15.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,T. Malacia,T. Malacia,38.0,"Muscle Injury, Knee Injury",1
ENG-Premier League,2223,Manchester Utd,Victor Lindelöf,SWE,DF,28,1994,20,14,1365,15.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,V. Lindelöf,,0.0,None,0
ENG-Premier League,2223,Manchester Utd,Wout Weghorst,NED,"FW,MF",29,1992,17,10,797,8.9,0,1,1,0,0,0,1,0,0.0,0.11,0.11,0.0,0.11,W. Weghorst,,0.0,None,0
ENG-Premier League,2223,Newcastle United,Alexander Isak,SWE,FW,22,1999,22,17,1522,16.9,10,1,11,8,2,2,3,0,0.59,0.06,0.65,0.47,0.53,A. Isak,A. Isak,18.0,"Injury, Muscle Injury, Head Injury, Groin Injury",1
ENG-Premier League,2223,Newcastle United,Allan Saint-Maximin,FRA,FW,25,1997,25,12,1120,12.4,1,5,6,1,0,0,1,0,0.08,0.4,0.48,0.08,0.48,A. Saint-Maximin,A. Saint-Maximin,11.0,"Thigh Injury, Muscle Injury",1
ENG-Premier League,2223,Newcastle United,Anthony Gordon,ENG,"FW,MF",21,2001,16,4,487,5.4,1,0,1,1,0,0,1,0,0.18,0.0,0.18,0.18,0.18,A. Gordon,A. Gordon,6.0,"Yellow Cards, Illness, Ankle Injury, Red Card",1
ENG-Premier League,2223,Newcastle United,Bruno Guimarães,BRA,MF,24,1997,32,32,2726,30.3,4,5,9,4,0,0,7,0,0.13,0.17,0.3,0.13,0.3,B. Guimarães,,0.0,None,0
